Comment,Designator,Footprint,LCSC Part #
C95872,D2,DO-214AC,
918-418K2023S40001,J1,USB-C-16P-2LAYER-PADS,
0.1uF,C2 C15,0402-TIGHT,
1.0uF,C7 C10,0402-TIGHT,
1k,R3 R4 R34,0402-TIGHT,
2.0k,R6,603,
2.2k,R1,603,
3A/10V/280mV,D4,SOD-323,
4.7uF,C6,0402-TIGHT,
4.7uF,C19,603,
5.1k,R9 R10,0402-TIGHT,
10k,R2 R5 R7 R8 R11 R12 R13 R17 R18,0402-TIGHT,
10uF,C1,0402-TIGHT,
20V/4.2A/52mÎ©/1.4W,Q3,SOT23-3,
AP2112K-3.3,U3,SOT23-5,
BLUE,D3,LED-0603,
Boot,S3,TACTILE_SWITCH_SMD_4.6X2.8MM,
CH340C,U7,SO016,
ESP-WROOM-32NARROW,U2,ESP-WROOM-32-NARROW,
MAX17048,U4,DFN-8,
MBT3904DW1T1,Q2,SC70-6,
MCP73831,U1,SOT23-5,
RED,D12,LED-0603,
Reset,S4,TACTILE_SWITCH_SMD_4.6X2.8MM,
SS8050,T1,SOT23,
Yellow,D1,LED-0603,
